B3R3,B3R10,B3R9B,B3R6,B14R2,B14R23,B14R15BTERSEDIA,B1282R6,B8R2K3N,B8R2K4N,B4R10B,B121R1,B121R4,B121R5,B121R7,B121R10,B122R3,B1282R1,B1282R2,B1282R3,B1282R4,B1282R5,B122R11,B122R1,B4R3,B51R1B,B3R22E,B3R24,B3R40,B51R2DK2,B14R16,B14R7A,B126R4A,X_Pengiriman_RKO,X_Metode_Pembelian_Kapitasi,X_Persentase_Pemenuhan_EPurchasing,X_Sumber_Dana_Umum,X_Kondisi_Ruang_Farmasi,X_Kualitas_Gudang,X_Sumber_Dana_BPJS,X_Proporsi_Kapitasi,X_Sistem_Pencatatan,X_Kerusakan_Obat,X_Kepemilikan_Kendaraan,X_Intensitas_Kapitasi,Total_Kelompok_Obat_Dinkes
1,0,0,1,2,9716,0,0,0,0,2,1,2,2,0,0,1,0,0,1,4,1,1,0,1,1,0,2,0,1,2,2,0,2,1,0,2,6,3,3,1,0,1,3,4,32
0,2,1,3,2,17301,1,1,1,1,2,1,1,2,1,0,0,0,0,1,12,0,1,0,2,1,1,4,1,1,2,1,1,1,0,0,2,6,3,3,0,1,0,3,0,34
1,2,1,1,2,24665,1,1,2,2,2,1,1,1,1,0,0,0,0,1,12,0,1,0,1,1,1,4,1,1,2,1,1,1,0,0,3,6,3,3,1,0,3,3,0,27
1,0,2,2,2,17300,0,0,0,0,2,1,1,1,1,0,0,0,0,1,4,0,1,0,1,1,1,4,1,0,2,1,0,1,0,0,2,6,4,3,1,3,1,3,0,33
0,0,1,1,2,9682,0,1,1,1,2,1,1,2,1,0,2,0,0,1,12,0,1,0,0,1,1,4,1,1,2,1,1,1,1,2,1,6,4,2,1,2,1,3,2,31
0,2,1,2,2,23368,1,1,0,0,2,1,3,1,0,1,1,1,6,1,12,1,1,1,2,1,1,4,1,1,2,1,1,1,2,2,1,6,4,3,1,3,3,3,2,34
0,2,0,2,2,-1,0,1,1,1,2,1,3,1,1,0,2,1,2,1,6,1,1,1,1,1,0,4,0,1,2,1,1,3,2,1,3,6,3,2,0,1,3,3,4,29
1,0,2,2,2,17923,0,1,2,0,2,1,1,2,1,0,0,0,0,1,12,0,1,1,1,1,1,4,1,1,2,1,1,1,0,0,2,6,3,2,1,3,1,3,0,31
1,0,2,2,2,25681,0,1,0,0,2,1,3,1,1,0,1,1,5,1,6,1,1,2,2,1,1,4,1,0,2,1,1,1,1,5,3,6,4,3,1,3,1,3,3,31
1,0,1,2,2,0,1,0,1,1,2,1,1,1,1,0,3,0,0,1,4,0,1,0,0,1,1,4,1,0,2,1,0,1,1,0,1,6,4,3,1,0,0,3,1,25
1,0,1,2,2,-1,0,1,0,1,2,1,1,2,0,1,1,1,4,1,4,0,1,2,1,1,1,4,0,1,2,1,0,1,1,1,3,6,4,3,1,1,1,3,3,28
0,2,2,2,2,1708,0,1,0,0,2,1,3,1,0,1,1,0,0,1,12,1,1,0,1,1,1,4,0,1,2,1,1,1,1,1,2,6,3,3,1,1,1,3,1,33
0,2,2,2,2,28957,0,1,1,2,2,1,1,2,1,0,0,1,2,1,4,0,1,2,2,1,1,4,1,1,2,1,1,1,0,0,2,6,4,3,0,1,1,3,0,33
1,2,2,2,2,23124,0,1,0,0,2,1,3,2,0,1,2,0,0,1,12,1,1,1,0,1,1,4,0,1,2,1,1,1,-1,0,1,6,4,3,1,3,1,3,3,34
1,2,2,2,1,10305,0,1,2,2,2,1,1,2,1,0,1,1,2,1,12,1,1,0,2,1,1,4,1,1,2,1,1,1,1,0,2,6,3,3,1,1,0,3,3,31
1,2,1,3,1,15574,1,1,0,0,2,1,3,2,0,1,1,0,0,1,12,0,1,0,2,1,1,4,0,1,2,1,1,1,1,0,3,6,3,3,0,1,1,3,1,32
1,2,2,3,2,-1,1,1,0,2,2,1,3,1,1,0,1,0,0,1,12,1,1,1,1,1,1,4,1,1,2,1,1,1,2,4,3,6,4,3,0,1,1,3,3,34
1,0,0,1,2,142,0,0,0,1,2,1,1,2,1,0,1,0,0,1,4,0,1,2,0,1,0,1,1,1,1,1,1,1,1,0,3,2,2,2,1,2,1,3,1,34
0,0,3,2,2,19835,1,1,0,2,2,1,3,2,1,0,2,0,0,1,12,0,1,2,2,1,1,4,1,1,2,1,1,1,1,0,3,6,3,3,1,2,0,3,3,34
1,0,2,1,2,19657,0,1,0,0,2,1,1,2,1,0,2,0,0,1,12,0,1,1,2,5,1,4,1,1,2,1,1,3,1,5,3,6,4,3,1,1,1,3,1,33
1,2,3,2,1,-1,1,1,1,0,2,1,1,2,1,0,1,0,0,1,6,0,1,1,2,1,1,4,1,1,2,1,1,1,1,4,2,6,4,3,1,1,0,3,1,33
0,0,0,1,2,3961,1,1,1,2,2,1,1,2,1,0,0,0,0,1,4,0,1,0,0,4,0,4,1,0,2,1,1,1,0,0,1,6,3,3,1,0,1,3,0,25
0,0,2,3,2,4447,1,1,0,0,2,1,3,1,1,0,1,0,0,1,11,1,1,0,1,1,1,4,1,0,2,1,1,1,1,4,3,6,3,2,1,2,1,3,2,32
1,0,2,1,2,220,0,1,0,0,2,1,1,2,1,0,0,0,0,1,12,0,1,0,1,1,0,2,0,1,1,1,1,3,0,0,3,6,4,3,1,2,1,1,0,33
1,0,1,1,2,6164,0,1,0,0,2,1,3,2,0,1,1,0,0,1,12,0,1,1,0,5,1,4,1,1,1,1,0,1,-1,0,3,6,3,2,1,2,0,3,1,33
0,0,1,3,2,15846,1,0,0,0,2,1,3,2,0,0,1,0,0,1,4,1,1,2,0,4,0,4,1,1,2,1,0,1,1,0,2,6,3,3,1,0,1,3,3,33
0,0,2,2,2,15504,1,1,1,1,2,1,3,2,1,0,1,1,1,1,12,0,1,1,1,1,1,4,1,1,2,1,1,1,1,0,2,6,3,3,1,3,1,3,4,30
0,0,1,0,2,20227,1,1,0,0,2,1,3,2,0,0,1,0,0,1,12,0,1,1,0,1,1,4,1,1,2,2,0,1,-1,0,3,6,4,2,1,2,1,3,4,30
